lat,long,temp,cloudiness,cloudiness_perct,humidity,wind_speed,city,country
28.37,129.48,26.0,broken clouds,75,83,7.7,naze,JP
35.6,103.21,4.84,clear sky,0,62,1.15,linxia,CN
18.8,110.4,24.47,overcast clouds,96,86,5.88,wanning,CN
68.05,166.44,-5.54,overcast clouds,100,94,3.03,bilibino,RU
68.53,146.42,-17.31,overcast clouds,100,92,4.1,belaya gora,RU
77.48,-69.36,-22.41,few clouds,22,77,3.67,qaanaaq,GL
-34.53,20.04,16.0,overcast clouds,100,77,3.1,bredasdorp,ZA
23.37,104.28,16.12,overcast clouds,100,85,1.59,kaihua,CN
42.6,-73.97,11.24,overcast clouds,100,62,0.99,albany,US
-54.8,-68.3,1.1,clear sky,10,87,1.51,ushuaia,AR
3.07,172.79,28.11,overcast clouds,92,74,3.89,butaritari,KI
38.73,-27.07,15.1,scattered clouds,40,63,8.3,praia da vitoria,PT
-46.6,168.33,11.71,clear sky,0,58,3.92,bluff,NZ
64.25,-15.21,6.79,few clouds,11,72,16.57,hofn,IS
29.11,21.29,16.17,few clouds,19,92,3.87,awjilah,LY
-34.42,-70.87,17.0,overcast clouds,90,48,2.6,rengo,CL
43.32,145.57,14.0,clear sky,0,44,8.2,nemuro,JP
8.92,38.62,9.65,few clouds,21,63,0.74,sebeta,ET
66.32,-179.17,-0.53,overcast clouds,100,100,4.53,egvekinot,RU
16.47,107.6,25.0,broken clouds,75,94,4.1,hue,VN
71.97,102.5,-19.87,overcast clouds,100,90,0.87,khatanga,RU
-21.06,-41.37,19.94,overcast clouds,87,91,1.28,mimoso do sul,BR
-23.12,-134.97,23.6,clear sky,0,71,5.82,rikitea,PF
-33.65,115.33,22.29,clear sky,0,31,5.36,busselton,AU
-42.88,147.33,14.42,broken clouds,75,48,6.7,hobart,AU
33.83,-116.55,28.75,clear sky,1,13,2.1,palm springs,US
69.45,-133.04,-18.0,few clouds,20,77,5.7,tuktoyaktuk,CA
-22.97,-42.03,19.7,broken clouds,75,84,4.09,arraial do cabo,BR
62.58,6.13,10.29,light intensity drizzle,75,93,12.3,roald,NO
8.53,28.1,24.06,overcast clouds,100,51,1.08,gogrial,SS
-38.0,-57.56,15.96,clear sky,0,82,2.1,mar del plata,AR
51.96,58.16,7.85,overcast clouds,100,56,4.22,buribay,RU
-0.74,-90.35,21.11,overcast clouds,86,78,2.68,puerto ayora,EC
60.72,-46.03,-9.0,clear sky,0,43,2.6,qaqortoq,GL
-46.19,168.86,18.95,clear sky,2,36,0.77,mataura,NZ
18.2,-73.75,24.62,overcast clouds,100,77,2.01,les cayes,HT
21.02,-102.17,11.11,scattered clouds,27,44,1.75,san julian,MX
-9.8,-139.03,26.02,clear sky,10,75,9.25,atuona,PF
22.8,114.47,23.69,clear sky,0,89,4.47,danshui,CN
-32.58,151.78,19.04,scattered clouds,40,52,8.7,clarence town,AU
67.8,130.41,-24.0,overcast clouds,97,84,0.51,batagay-alyta,RU
21.46,-71.14,27.04,moderate rain,100,77,8.3,cockburn town,TC
-45.87,170.5,12.78,broken clouds,51,74,5.81,dunedin,NZ
66.08,76.63,-13.9,overcast clouds,100,95,6.84,novyy urengoy,RU
-33.92,25.57,18.0,few clouds,20,93,9.3,port elizabeth,ZA
13.03,-9.49,24.29,clear sky,0,36,0.4,kita,ML
-0.6,73.08,28.57,light rain,97,70,0.82,hithadhoo,MV
-53.15,-70.92,7.0,few clouds,20,56,3.6,punta arenas,CL
29.37,-99.77,17.34,clear sky,1,63,1.87,uvalde,US
62.46,-114.35,-11.07,light snow,90,72,6.2,yellowknife,CA
-1.2,-46.02,26.79,overcast clouds,99,76,3.9,carutapera,BR
71.92,114.08,-12.88,overcast clouds,100,94,3.98,saskylakh,RU
-13.34,-44.64,20.91,moderate rain,100,93,1.42,correntina,BR
20.52,-13.05,26.28,overcast clouds,98,18,0.49,atar,MR
-21.21,-159.78,24.0,light rain,32,83,9.95,avarua,CK
